repository,total_events,active_contributors,bot_events,first_event,last_event,pr_events,issue_events,bot_ratio
saleor/saleor,1183,58,360,2023-01-02 04:11:57,2023-01-31 16:32:38,351,422,0.3043110735418428
mantidproject/mantid,1182,38,59,2023-01-02 05:59:05,2023-01-31 21:36:48,197,641,0.04991539763113367
ZcashFoundation/zebra,1181,13,623,2023-01-02 13:09:50,2023-01-31 23:04:04,257,610,0.5275190516511431
relaycc/relay,1181,13,144,2023-01-04 06:15:03,2023-01-31 23:56:15,298,458,0.12193056731583404
metasfresh/metasfresh,1178,17,74,2023-01-01 09:26:09,2023-01-31 19:30:16,364,85,0.06281833616298811
MTES-MCT/trackdechets,1176,11,520,2023-01-01 21:41:05,2023-01-31 19:54:03,184,513,0.4421768707482993
googleapis/google-cloud-node,1175,29,821,2023-01-01 20:50:31,2023-01-31 21:16:00,173,577,0.6987234042553192
lowRISC/opentitan,1175,56,0,2023-01-03 10:56:44,2023-01-31 23:55:27,362,653,0.0
iterative/vscode-dvc,1175,19,418,2023-01-02 15:28:42,2023-01-31 23:43:40,284,476,0.3557446808510638
hortonworks/cloudbreak,1174,42,89,2023-01-02 05:04:12,2023-01-31 22:27:37,379,173,0.075809199318569
dimilidi/jobportal,1172,6,177,2023-01-02 08:59:21,2023-01-31 22:35:01,425,179,0.15102389078498293
ibm-developer-skills-network/gkpbt-css-circle,1172,277,776,2023-01-01 04:46:52,2023-01-31 23:14:04,776,396,0.6621160409556314
iptv-org/database,1171,29,0,2023-01-01 00:52:42,2023-01-31 17:51:26,86,993,0.0
Budibase/budibase,1171,92,292,2023-01-02 02:13:16,2023-01-31 22:51:34,171,457,0.2493595217762596
bambulab/BambuStudio,1170,220,0,2023-01-01 00:13:50,2023-01-31 19:45:38,43,1113,0.0
obsproject/obs-studio,1169,243,0,2023-01-01 03:20:54,2023-01-31 23:54:34,166,946,0.0
GaloyMoney/galoy-mobile,1168,18,219,2023-01-01 12:48:22,2023-01-31 22:28:10,399,101,0.1875
hashicorp/dev-portal,1165,26,374,2023-01-03 17:05:54,2023-01-31 23:59:57,195,422,0.32103004291845494
hmcts/prl-ccd-definitions,1164,31,86,2023-01-01 19:20:02,2023-01-31 23:14:57,222,5,0.07388316151202749
w3c/csswg-drafts,1164,143,34,2023-01-01 21:58:10,2023-01-31 23:02:57,52,1018,0.029209621993127148
RobotLocomotion/drake,1164,39,24,2023-01-01 23:57:19,2023-01-31 23:26:13,324,672,0.020618556701030927
Kong/kong,1161,84,35,2023-01-02 02:06:17,2023-01-31 22:39:58,235,348,0.030146425495262703
Chia-Network/chia-blockchain,1160,69,108,2023-01-01 09:11:30,2023-01-31 23:56:58,282,537,0.09310344827586207
ParadiseSS13/Paradise,1160,73,84,2023-01-01 00:29:49,2023-01-31 23:51:49,419,478,0.07241379310344828
micronaut-projects/micronaut-core,1159,66,492,2023-01-01 03:53:12,2023-01-31 23:39:53,138,691,0.4245038826574633
openfoodfacts/smooth-app,1158,37,177,2023-01-01 05:30:53,2023-01-31 22:15:08,190,730,0.15284974093264247
ansible/ansible,1157,158,207,2023-01-01 15:57:16,2023-01-31 23:33:12,251,803,0.17891097666378566
martinvonz/jj,1156,22,79,2023-01-01 04:50:03,2023-01-31 21:34:03,321,404,0.06833910034602077
venomlinux/ports,1156,9,0,2023-01-01 04:38:24,2023-01-31 19:18:29,769,10,0.0
pyvista/pyvista,1155,41,123,2023-01-01 00:04:39,2023-01-31 23:35:07,180,522,0.10649350649350649
excalidraw/excalidraw,1153,110,404,2023-01-01 00:05:34,2023-01-31 22:52:19,97,403,0.35039028620988727
OhMyGuus/I-Still-Dont-Care-About-Cookies,1152,35,593,2023-01-01 00:14:49,2023-01-31 20:33:24,3,996,0.5147569444444444
abpframework/abp,1151,125,183,2023-01-01 08:13:26,2023-01-31 17:26:27,369,510,0.158992180712424
opencollective/opencollective-frontend,1151,14,641,2023-01-01 00:21:38,2023-01-31 23:51:05,185,129,0.5569070373588184
Codecademy/docs,1150,93,66,2023-01-01 07:19:20,2023-01-31 22:38:33,196,868,0.057391304347826085
DefiLlama/defillama-server,1150,28,95,2023-01-01 00:12:21,2023-01-31 17:13:31,574,28,0.08260869565217391
drshahizan/Python-big-data,1149,44,0,2023-01-01 01:34:28,2023-01-31 17:32:52,2,0,0.0
alphagov/gdx-data-share-poc,1149,7,198,2023-01-03 10:38:59,2023-01-31 21:42:32,469,93,0.17232375979112272
activepieces/activepieces,1147,14,134,2023-01-01 07:33:23,2023-01-31 23:55:12,328,353,0.11682650392327812
eclipse-openj9/openj9,1147,71,0,2023-01-02 01:04:48,2023-01-31 23:58:48,144,938,0.0
open-telemetry/opentelemetry-dotnet-instrumentation,1146,20,504,2023-01-02 11:25:50,2023-01-31 20:34:51,372,550,0.4397905759162304
valora-inc/wallet,1144,17,490,2023-01-02 16:31:04,2023-01-31 22:05:10,204,243,0.42832167832167833
firebase/firebase-android-sdk,1143,72,495,2023-01-01 14:11:46,2023-01-31 23:56:43,171,640,0.4330708661417323
meshery/meshery,1143,72,198,2023-01-01 04:10:54,2023-01-31 23:00:03,235,681,0.1732283464566929
netdata/netdata,1142,76,33,2023-01-01 00:18:27,2023-01-31 22:15:33,269,656,0.028896672504378284
tteck/Proxmox,1142,49,0,2023-01-01 00:01:25,2023-01-31 19:58:57,24,242,0.0
zitadel/zitadel,1140,44,346,2023-01-01 13:01:48,2023-01-31 20:31:35,143,522,0.30350877192982456
filecoin-project/bacalhau,1140,25,126,2023-01-01 00:55:05,2023-01-31 22:02:33,230,391,0.11052631578947368
jina-ai/jina,1140,30,399,2023-01-02 00:16:20,2023-01-31 17:04:49,189,478,0.35
apache/dolphinscheduler,1137,89,479,2023-01-01 00:22:39,2023-01-31 15:29:38,136,925,0.4212840809146878
ultralytics/yolov5,1137,341,413,2023-01-01 00:23:10,2023-01-31 22:14:12,71,1035,0.36323658751099386
ophub/amlogic-s9xxx-armbian,1136,112,0,2023-01-01 02:11:54,2023-01-31 15:08:36,15,1002,0.0
yt-dlp/yt-dlp,1136,273,4,2023-01-01 01:28:43,2023-01-31 22:40:13,106,984,0.0035211267605633804
VictoriaMetrics/VictoriaMetrics,1135,104,84,2023-01-01 08:33:10,2023-01-31 22:29:51,181,576,0.07400881057268723
filecoin-project/ref-fvm,1135,42,0,2023-01-01 09:18:33,2023-01-31 23:57:43,111,815,0.0
quarto-dev/quarto-cli,1133,139,1,2023-01-01 00:03:28,2023-01-31 23:39:25,90,752,0.00088261253309797
ag-grid/ag-grid,1131,93,0,2023-01-02 11:16:43,2023-01-31 23:26:29,203,308,0.0
liferay-search/liferay-portal,1130,18,0,2023-01-02 15:03:36,2023-01-31 23:04:42,80,971,0.0
kata-containers/kata-containers,1129,81,29,2023-01-02 09:13:24,2023-01-31 21:21:18,177,880,0.025686448184233834
apache/iceberg,1129,104,134,2023-01-01 00:13:29,2023-01-31 21:33:36,298,684,0.11868910540301152
primer/react,1129,49,293,2023-01-01 18:45:18,2023-01-31 22:56:23,182,353,0.2595217006200177
mapbox/mapbox-navigation-android,1128,31,376,2023-01-02 21:22:46,2023-01-31 18:26:53,272,319,0.3333333333333333
vtex/openapi-schemas,1128,14,167,2023-01-03 15:23:42,2023-01-31 23:56:22,111,178,0.14804964539007093
iterative/dvc,1128,77,124,2023-01-01 20:53:46,2023-01-31 20:40:04,204,728,0.1099290780141844
